Unnamed: 0,Price,Size,Bed,Bath,Location
2350,21500000,2200.0,3,3,Uttara
2359,14500000,1943.0,3,3,Uttara
2366,14000000,1800.0,3,3,Uttara
2397,10200000,1517.0,3,4,Uttara
2409,5800000,900.0,2,2,Uttara
2438,12000000,1450.0,3,3,Uttara
2439,12000000,1450.0,3,3,Uttara
2462,14500000,1943.0,3,3,Uttara
2482,14500000,1943.0,3,3,Uttara
2490,20000000,1800.0,3,4,Uttara
2617,14000000,1775.0,3,4,Uttara
2629,19000000,2000.0,4,4,Uttara
2643,12000000,1650.0,3,3,Uttara
2693,13000000,1955.0,3,3,Uttara
2793,7800000,1150.0,3,3,Uttara
2819,8200000,1362.0,3,3,Uttara
2848,16000000,1637.0,3,3,Uttara
2956,9200000,1654.0,3,4,Uttara
2957,13000000,1600.0,3,3,Uttara
2984,22500000,3000.0,4,6,Uttara
3026,13000000,1550.0,3,3,Uttara
3027,13000000,1550.0,3,3,Uttara
3042,6200000,930.0,2,2,Uttara
3063,10000000,1518.0,3,3,Uttara
3112,8000000,1654.0,3,4,Uttara
3145,8500000,1654.0,3,4,Uttara
3147,9200000,1525.0,3,3,Uttara
3158,8600000,1654.0,3,4,Uttara
3163,7500000,1395.0,3,4,Uttara
3190,7200000,1525.0,3,3,Uttara
3194,12000000,1521.0,3,3,Uttara
3207,25000000,2300.0,3,4,Uttara
3262,10000000,1950.0,3,3,Uttara
3361,14500000,1525.0,2,2,Uttara
3405,7000000,1500.0,3,3,Uttara
3415,24000000,2200.0,3,4,Uttara
3426,11500000,1620.0,3,4,Uttara
3498,23500000,2350.0,4,5,Uttara
3512,14000000,1800.0,3,3,Uttara
3513,14000000,1800.0,3,3,Uttara
3514,12000000,1100.0,3,3,Uttara
3541,11500000,1605.0,3,4,Uttara
3548,11000000,1723.0,3,4,Uttara
3567,14000000,1475.0,4,5,Uttara
3599,25000000,2688.0,4,4,Uttara
3675,6600000,1023.0,2,3,Uttara
3694,11000000,1400.0,3,3,Uttara
3708,4900000,1120.0,3,2,Uttara
3722,6000000,1100.0,4,3,Uttara
3726,10700000,1740.0,4,4,Uttara
3734,6300000,1220.0,4,3,Uttara
3737,11800000,1950.0,3,4,Uttara
3741,7200000,1365.0,3,3,Uttara
3759,5900000,1100.0,4,3,Uttara
3774,5500000,1100.0,3,3,Uttara
3776,5900000,1100.0,4,3,Uttara
3808,25000000,2620.0,3,4,Uttara
3897,12000000,1460.0,3,3,Uttara
3930,19000000,1820.0,3,4,Uttara
3943,12500000,1514.0,3,3,Uttara
3954,11800000,1454.0,3,3,Uttara
3960,5500000,1100.0,3,3,Uttara
3961,5500000,1100.0,3,3,Uttara
3962,5500000,1100.0,3,3,Uttara
3963,5500000,1100.0,3,3,Uttara
3964,5500000,1100.0,3,3,Uttara
3965,5500000,1100.0,3,3,Uttara
3966,5500000,1100.0,3,3,Uttara
3974,11800000,1454.0,3,3,Uttara
3975,11500000,1454.0,3,3,Uttara
3976,11500000,1454.0,3,3,Uttara
3977,11700000,1454.0,3,3,Uttara
3988,5500000,1100.0,3,3,Uttara
3989,5500000,1100.0,3,3,Uttara
3990,5500000,1100.0,3,3,Uttara
3996,6500000,1023.0,3,2,Uttara
4026,8500000,1200.0,3,2,Uttara
4039,8000000,1320.0,3,3,Uttara
4115,5500000,1100.0,3,3,Uttara
4116,5500000,1100.0,3,3,Uttara
4117,5500000,1100.0,3,3,Uttara
4155,11000000,1400.0,3,3,Uttara
4191,6500000,1170.0,3,2,Uttara
4218,10000000,1370.0,3,3,Uttara
4325,6000000,925.0,2,2,Uttara
4352,8500000,1182.0,3,3,Uttara
4427,7000000,1450.0,5,5,Uttara
4434,5000000,1000.0,3,3,Uttara
4435,3000000,650.0,2,2,Uttara
4439,17000000,1680.0,3,3,Uttara
4447,5000000,850.0,2,2,Uttara
4462,13000000,1300.0,3,3,Uttara
4474,17300000,1913.0,3,5,Uttara
4728,5200000,1100.0,3,3,Uttara
4729,5500000,1150.0,3,3,Uttara
4733,4200000,900.0,2,2,Uttara
4793,11500000,1620.0,3,4,Uttara
4829,6000000,1120.0,3,2,Uttara
4850,5500000,1100.0,3,3,Uttara
4870,5500000,1100.0,3,3,Uttara
4871,5500000,1100.0,3,3,Uttara
4872,5500000,1100.0,3,3,Uttara
4873,5500000,1100.0,3,3,Uttara
4874,5500000,1100.0,3,3,Uttara
4875,5500000,1100.0,3,3,Uttara
4876,5500000,1100.0,3,3,Uttara
5001,6000000,1100.0,2,2,Uttara
5003,13500000,1700.0,3,3,Uttara
5013,4300000,759.0,2,2,Uttara
5026,5000000,885.0,2,2,Uttara
5035,6800000,950.0,2,3,Uttara
5068,14000000,1700.0,3,3,Uttara
5078,13000000,1360.0,3,3,Uttara
5079,7500000,1320.0,3,3,Uttara
5133,8000000,1654.0,3,3,Uttara
5253,8500000,1125.0,3,3,Uttara
5265,11500000,1750.0,3,4,Uttara
5320,14000000,1530.0,3,4,Uttara
5334,5000000,1020.0,2,2,Uttara
5371,9300000,1690.0,3,3,Uttara
5372,9300000,1690.0,3,3,Uttara
5419,6750000,875.0,2,2,Uttara
5528,12000000,1600.0,3,4,Uttara
5536,9000000,1654.0,3,4,Uttara
5569,11000000,1650.0,3,3,Uttara
5594,5000000,950.0,3,2,Uttara
5604,22000000,2500.0,4,4,Uttara
5633,11500000,1320.0,3,3,Uttara
5637,8000000,1300.0,3,3,Uttara
5638,8000000,1300.0,3,3,Uttara
5640,5000000,1000.0,2,2,Uttara
5654,12000000,1400.0,3,3,Uttara
5691,5000000,1000.0,2,2,Uttara
5692,5000000,1000.0,2,2,Uttara
5693,11800000,1700.0,3,3,Uttara
5698,10000000,1800.0,4,4,Uttara
5705,10500000,1517.0,3,3,Uttara
5717,16000000,1820.0,3,3,Uttara
5718,10500000,1430.0,3,3,Uttara
5719,10500000,1430.0,3,3,Uttara
5720,10500000,1430.0,3,3,Uttara
5721,12000000,1500.0,3,3,Uttara
5722,10500000,1430.0,3,3,Uttara
5723,10500000,1430.0,3,3,Uttara
5737,6000000,1500.0,3,3,Uttara
5738,5000000,1000.0,2,2,Uttara
5742,7500000,1160.0,3,2,Uttara
5751,11000000,1530.0,3,3,Uttara
5774,10500000,1406.0,3,3,Uttara
5827,21000000,2370.0,3,3,Uttara
5858,9200000,1700.0,4,3,Uttara
5862,21000000,2370.0,3,3,Uttara
5863,14500000,1717.0,3,3,Uttara
5867,14500000,2150.0,4,4,Uttara
5873,17500000,2170.0,3,3,Uttara
5874,17500000,2170.0,3,3,Uttara
5876,23000000,2365.0,4,3,Uttara
5913,24000000,3218.0,4,4,Uttara
